これまでに移行した機能と変更内容 (全履歴)
1. セーブデータ構造の改善
既存の Perl 版で複数フォルダに分散していたデータを、プレイヤーごとに save_data/{ユーザーID}/ という専用ディレクトリを作成し、すべて分かりやすい JSON (辞書形式) に統合して保存しています。
chara.json (基本ステータス)
item.json (装備武器・防具・アクセサリー)
syoku.json (職業熟練度)
login_log.json (ログイン履歴)
souko_*.json (倉庫データ)
2. 戦闘・修行システムの移行
monster.py (モンスター修行、幻影闘技場、異世界修行の統合)
battle.py (対人・王者決定戦)
legend.py (レジェンドボス階層戦)
select_battle.py (プレイヤー模擬戦)
3. アトラクション・チョコボ機能の完全移植
morifarm.py (森の農場での野生チョコボ捕獲、お見合い配合、引退処理など)
chocofarm.py (農場内ステータス確認、育成アドバイス、出走)
ctrain.py (特訓トレーニング)
crace.py (高速レースシミュレータ、実況およびリアルタイムラン順JS表示)
farmrace.py (チョコボ王者決定戦)
dendo.py (殿堂入り登録、対戦レース)
chocorank.py (チョコボ部門別Top10・G1重賞履歴表示)
4. その他の機能移植
bank.py (銀行預金・引出)
tensyoku.py (ジョブ転職)
passchange.py (パスワード変更)
post_message.py (メッセージ受信ボックス・郵便)
rank.py (プレイヤー英雄ランキング)
system.py (登録者一覧、他キャラ詳細ステータス、画像インデックス一覧)
admin.py (管理者用コントロールパネル)
